Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Streebog-256,Streebog-512,Description
Library,,,,,@codemirror,lang-javascript,6.2.4,optional,MIT,,,,pkg:npm/%40codemirror/lang-javascript@6.2.4,,,,,,,,,,,,,,,d16566869d503aa67846de869551b0289377296ed78781f6abc65934665a3fa9517715c9ce68e6e05aaf98ea23563ea485624721bf6ca7b53fef65bbc5082a00,,,,,,,,,,
Library,,,,,@codemirror,autocomplete,6.20.0,required,MIT,,,,pkg:npm/%40codemirror/autocomplete@6.20.0,,,,,,,,,,,,,,,6cec2f4ce209706e45568e60514ba98b0621f0c8a83cb43851ca9b7117fb510f7c5fdd2d09af44d6467767bb6ac296716323af87561361b99913d4537d3a7986,,,,,,,,,,
Library,,,,,@codemirror,language,6.12.1,required,MIT,,,,pkg:npm/%40codemirror/language@6.12.1,,,,,,,,,,,,,,,15aeb19128ae18a73c5c2f029fde93f93407623e1967b45d1665c0de2f717bfde12c77f03d974cf9da9f5f40a9d334249412a1543f18cdcf0b4b8e6b92a730a5,,,,,,,,,,
Library,,,,,@codemirror,state,6.5.3,required,MIT,,,,pkg:npm/%40codemirror/state@6.5.3,,,,,,,,,,,,,,,31eacccc9ce55e8824d9fc56154d672a9dfa6d8e68ac11b9f479cf8b3d06f672d179b59ad335eebf6b221fa3cb20706fbf94c7f0291046a8c1b34325c4266ef8,,,,,,,,,,
Library,,,,,@marijn,find-cluster-break,1.0.2,optional,MIT,,,,pkg:npm/%40marijn/find-cluster-break@1.0.2,,,,,,,,,,,,,,,97487cf1885917229d5c814d7d25a9ca34ad0e3187c19fd4ee2a1b70ad5c4100fcb1e8ec38d750b53554fb5c153753c1c38d0f8a21c1d6f0394bb5537d088ff6,,,,,,,,,,
Library,,,,,@codemirror,view,6.39.9,required,MIT,,,,pkg:npm/%40codemirror/view@6.39.9,,,,,,,,,,,,,,,9a219221f04e282d6cda81e86bcd1da7e063b6c2fcb17b2b8069509d0b8e71fbda79d71052da9d75398a6c948390b9789a480fbd9c97b8a89cd870cd61c24b60,,,,,,,,,,
Library,,,,,,crelt,1.0.6,optional,MIT,,,,pkg:npm/crelt@1.0.6,,,,,,,,,,,,,,,550d8c05e9d3ab57d66541fd0c9346b62ee42afe84780b98af770bc31516848bb56da4da5e1e086f95b60aa1d5aa26f8fcca9b60626a88bdd96fc18966bde5e2,,,,,,,,,,
Library,,,,,,style-mod,4.1.3,optional,MIT,,,,pkg:npm/style-mod@4.1.3,,,,,,,,,,,,,,,8bf9fc56c67276bba08f722ece597cfb1ff4d061f6be762c9357a8983f10891ad201e5ba22d6c2403b5f5c27891ddd22c2235a82a8d092fa6f44410fb56dc8a1,,,,,,,,,,
Library,,,,,,w3c-keyname,2.2.8,optional,MIT,,,,pkg:npm/w3c-keyname@2.2.8,,,,,,,,,,,,,,,769a2306136c08d37b4fcd939bb936e80e86f4c2f7364843b27c3d9ff7a8c52465541078084b4843f29308b2361707f76ad6925d1858164422dd29671703ef3d,,,,,,,,,,
Library,,,,,@lezer,common,1.5.0,optional,MIT,,,,pkg:npm/%40lezer/common@1.5.0,,,,,,,,,,,,,,,3cd19ca25a7d86be0f25d5d1e22c7b5ed8b10eb0a549cbed482616deb406d74ea854c38e23e8c56fed3e27799b78bff9de0d5977ab34909cdac3a462ebc1a600,,,,,,,,,,
